VICIDIAL|GOOD|Thu, 22 Sep 2005 17:42:04 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.10) Gecko/20050716 Firefox/1.0.6|Manager|
VICIDIAL|GOOD|Fri, 23 Sep 2005 16:31:09 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.10) Gecko/20050716 Firefox/1.0.6|Manager|
VICIDIAL|GOOD|Fri, 23 Sep 2005 16:31:11 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.10) Gecko/20050716 Firefox/1.0.6|Manager|
VICIDIAL|GOOD|Fri, 23 Sep 2005 16:31:13 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.10) Gecko/20050716 Firefox/1.0.6|Manager|
VICIDIAL|GOOD|Fri, 23 Sep 2005 16:31:15 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.10) Gecko/20050716 Firefox/1.0.6|Manager|
VICIDIAL|GOOD|Fri, 23 Sep 2005 16:31:16 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.10) Gecko/20050716 Firefox/1.0.6|Manager|
VICIDIAL|GOOD|Mon, 26 Sep 2005 12:05:06 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.10) Gecko/20050716 Firefox/1.0.6|Manager|
VICIDIAL|GOOD|Mon, 26 Sep 2005 12:05:10 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.10) Gecko/20050716 Firefox/1.0.6|Manager|
VICIDIAL|GOOD|Mon, 26 Sep 2005 12:05:12 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.10) Gecko/20050716 Firefox/1.0.6|Manager|
VICIDIAL|GOOD|Mon, 26 Sep 2005 12:05:16 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.10) Gecko/20050716 Firefox/1.0.6|Manager|
VICIDIAL|GOOD|Mon, 26 Sep 2005 12:06:06 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.10) Gecko/20050716 Firefox/1.0.6|Manager|
VICIDIAL|GOOD|Mon, 26 Sep 2005 12:06:10 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.10) Gecko/20050716 Firefox/1.0.6|Manager|
VICIDIAL|GOOD|Mon, 26 Sep 2005 12:06:15 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.10) Gecko/20050716 Firefox/1.0.6|Manager|
VICIDIAL|GOOD|Mon, 26 Sep 2005 12:06:19 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.10) Gecko/20050716 Firefox/1.0.6|Manager|
VICIDIAL|GOOD|Mon, 26 Sep 2005 12:06:22 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.10) Gecko/20050716 Firefox/1.0.6|Manager|
VICIDIAL|GOOD|Mon, 26 Sep 2005 12:06:32 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.10) Gecko/20050716 Firefox/1.0.6|Manager|
VICIDIAL|GOOD|Mon, 26 Sep 2005 12:06:34 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.10) Gecko/20050716 Firefox/1.0.6|Manager|
VICIDIAL|GOOD|Mon, 26 Sep 2005 12:06:38 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.10) Gecko/20050716 Firefox/1.0.6|Manager|
VICIDIAL|GOOD|Mon, 26 Sep 2005 12:06:41 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.10) Gecko/20050716 Firefox/1.0.6|Manager|
VICIDIAL|GOOD|Mon, 26 Sep 2005 12:06:47 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.10) Gecko/20050716 Firefox/1.0.6|Manager|
VICIDIAL|GOOD|Mon, 26 Sep 2005 12:06:55 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.10) Gecko/20050716 Firefox/1.0.6|Manager|
VICIDIAL|GOOD|Mon, 26 Sep 2005 12:07:22 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.10) Gecko/20050716 Firefox/1.0.6|Manager|
VICIDIAL|GOOD|Mon, 26 Sep 2005 12:07:23 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.10) Gecko/20050716 Firefox/1.0.6|Manager|
VICIDIAL|GOOD|Mon, 26 Sep 2005 12:07:26 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.10) Gecko/20050716 Firefox/1.0.6|Manager|
VICIDIAL|GOOD|Mon, 26 Sep 2005 12:07:36 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.10) Gecko/20050716 Firefox/1.0.6|Manager|
VICIDIAL|GOOD|Mon, 26 Sep 2005 12:20:02 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.10) Gecko/20050716 Firefox/1.0.6|Manager|
VICIDIAL|GOOD|Mon, 26 Sep 2005 12:20:13 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.10) Gecko/20050716 Firefox/1.0.6|Manager|
VICIDIAL|GOOD|Mon, 26 Sep 2005 12:20:21 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.10) Gecko/20050716 Firefox/1.0.6|Manager|
VICIDIAL|GOOD|Mon, 26 Sep 2005 12:20:24 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.10) Gecko/20050716 Firefox/1.0.6|Manager|
VICIDIAL|GOOD|Mon, 26 Sep 2005 12:20:26 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.10) Gecko/20050716 Firefox/1.0.6|Manager|
VICIDIAL|GOOD|Mon, 26 Sep 2005 13:04:03 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.10) Gecko/20050716 Firefox/1.0.6|Manager|
LIST_LOAD|GOOD|Mon, 26 Sep 2005 13:04:19 -0400|lead|load|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.10) Gecko/20050716 Firefox/1.0.6||
VICIDIAL|GOOD|Mon, 26 Sep 2005 13:14:49 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.10) Gecko/20050716 Firefox/1.0.6|Manager|
VICIDIAL|GOOD|Mon, 26 Sep 2005 13:14:53 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.10) Gecko/20050716 Firefox/1.0.6|Manager|
LIST_LOAD|GOOD|Mon, 26 Sep 2005 13:15:08 -0400|lead|load|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.10) Gecko/20050716 Firefox/1.0.6||
VICIDIAL|GOOD|Mon, 26 Sep 2005 13:56:12 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.10) Gecko/20050716 Firefox/1.0.6|Manager|
VICIDIAL|GOOD|Mon, 26 Sep 2005 13:56:15 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.10) Gecko/20050716 Firefox/1.0.6|Manager|
VD_CLOSER|GOOD|Mon, 26 Sep 2005 13:56:28 -0400|over|ride|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.10) Gecko/20050716 Firefox/1.0.6||
VICIDIAL|GOOD|Mon, 26 Sep 2005 16:17:15 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.10) Gecko/20050716 Firefox/1.0.6|Manager|
VICIDIAL|GOOD|Mon, 26 Sep 2005 17:31:01 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.10) Gecko/20050716 Firefox/1.0.6|Manager|
VICIDIAL|GOOD|Mon, 26 Sep 2005 17:31:04 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.10) Gecko/20050716 Firefox/1.0.6|Manager|
VICIDIAL|GOOD|Mon, 26 Sep 2005 17:31:05 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.10) Gecko/20050716 Firefox/1.0.6|Manager|
VICIDIAL|GOOD|Mon, 26 Sep 2005 17:31:07 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.10) Gecko/20050716 Firefox/1.0.6|Manager|
VICIDIAL|GOOD|Mon, 26 Sep 2005 17:31:13 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.10) Gecko/20050716 Firefox/1.0.6|Manager|
VICIDIAL|GOOD|Mon, 26 Sep 2005 17:31:20 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.10) Gecko/20050716 Firefox/1.0.6|Manager|
VICIDIAL|GOOD|Mon, 26 Sep 2005 17:31:29 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.10) Gecko/20050716 Firefox/1.0.6|Manager|
VICIDIAL|GOOD|Mon, 26 Sep 2005 17:31:34 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.10) Gecko/20050716 Firefox/1.0.6|Manager|
VICIDIAL|GOOD|Mon, 26 Sep 2005 17:31:37 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.10) Gecko/20050716 Firefox/1.0.6|Manager|
VICIDIAL|GOOD|Mon, 26 Sep 2005 17:31:39 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.10) Gecko/20050716 Firefox/1.0.6|Manager|
VICIDIAL|GOOD|Mon, 26 Sep 2005 17:31:41 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.10) Gecko/20050716 Firefox/1.0.6|Manager|
VICIDIAL|GOOD|Mon, 26 Sep 2005 17:31:47 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.10) Gecko/20050716 Firefox/1.0.6|Manager|
VICIDIAL|GOOD|Mon, 26 Sep 2005 17:31:53 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.10) Gecko/20050716 Firefox/1.0.6|Manager|
VICIDIAL|GOOD|Wed, 28 Sep 2005 17:47:44 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|Manager|
VICIDIAL|GOOD|Wed, 28 Sep 2005 17:47:46 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|Manager|
VICIDIAL|GOOD|Wed, 28 Sep 2005 17:47:48 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|Manager|
VICIDIAL|GOOD|Wed, 28 Sep 2005 17:47:50 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|Manager|
VICIDIAL|GOOD|Wed, 28 Sep 2005 17:47:53 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|Manager|
VICIDIAL|GOOD|Wed, 28 Sep 2005 17:47:54 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|Manager|
VICIDIAL|GOOD|Fri, 30 Sep 2005 15:48:44 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|Manager|
VICIDIAL|GOOD|Fri, 30 Sep 2005 15:48:46 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|Manager|
VICIDIAL|GOOD|Fri, 30 Sep 2005 15:48:48 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|Manager|
VICIDIAL|GOOD|Fri, 30 Sep 2005 15:48:52 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|Manager|
VICIDIAL|GOOD|Fri, 30 Sep 2005 15:59:10 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|Manager|
VICIDIAL|GOOD|Thu, 06 Oct 2005 10:09:19 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|Manager|
VICIDIAL|GOOD|Thu, 06 Oct 2005 10:09:36 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|Manager|
VICIDIAL|GOOD|Thu, 06 Oct 2005 10:09:36 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|Manager|
VICIDIAL|GOOD|Thu, 06 Oct 2005 10:09:53 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|Manager|
VICIDIAL|GOOD|Thu, 06 Oct 2005 10:11:06 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|Manager|
VICIDIAL|GOOD|Thu, 06 Oct 2005 10:12:13 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|Manager|
VICIDIAL|GOOD|Thu, 06 Oct 2005 10:12:40 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|Manager|
VICIDIAL|GOOD|Thu, 06 Oct 2005 10:12:41 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|Manager|
VICIDIAL|GOOD|Thu, 06 Oct 2005 10:12:41 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|Manager|
VICIDIAL|GOOD|Thu, 06 Oct 2005 10:12:42 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|Manager|
VICIDIAL|GOOD|Thu, 06 Oct 2005 10:12:42 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|Manager|
VICIDIAL|GOOD|Thu, 06 Oct 2005 10:12:44 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|Manager|
VICIDIAL|GOOD|Thu, 06 Oct 2005 10:12:46 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|Manager|
VICIDIAL|GOOD|Thu, 06 Oct 2005 10:12:47 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|Manager|
VICIDIAL|GOOD|Thu, 06 Oct 2005 10:12:47 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|Manager|
VICIDIAL|GOOD|Thu, 06 Oct 2005 10:12:50 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|Manager|
VICIDIAL|GOOD|Thu, 06 Oct 2005 10:12:52 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|Manager|
VICIDIAL|GOOD|Thu, 06 Oct 2005 10:12:54 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|Manager|
VICIDIAL|GOOD|Thu, 06 Oct 2005 10:12:54 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|Manager|
LIST_LOAD|GOOD|Thu, 06 Oct 2005 10:12:55 -0400|lead|load|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7||
VICIDIAL|GOOD|Thu, 06 Oct 2005 10:12:58 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|Manager|
VICIDIAL|GOOD|Thu, 06 Oct 2005 10:12:59 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|Manager|
VICIDIAL|GOOD|Thu, 06 Oct 2005 10:13:00 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|Manager|
VICIDIAL|GOOD|Thu, 06 Oct 2005 10:13:00 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|Manager|
VICIDIAL|GOOD|Thu, 06 Oct 2005 10:13:02 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|Manager|
VICIDIAL|GOOD|Thu, 06 Oct 2005 10:13:04 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|Manager|
VICIDIAL|GOOD|Thu, 06 Oct 2005 10:13:04 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|Manager|
VICIDIAL|GOOD|Thu, 06 Oct 2005 10:13:06 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|Manager|
VICIDIAL|GOOD|Thu, 06 Oct 2005 10:13:06 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|Manager|
VICIDIAL|GOOD|Thu, 06 Oct 2005 10:13:09 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|Manager|
VICIDIAL|GOOD|Thu, 06 Oct 2005 10:13:52 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|Manager|
VICIDIAL|GOOD|Thu, 06 Oct 2005 10:13:59 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|Manager|
VICIDIAL|GOOD|Thu, 06 Oct 2005 10:26:16 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|Manager|
VICIDIAL|GOOD|Thu, 06 Oct 2005 10:26:17 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|Manager|
VICIDIAL|GOOD|Thu, 06 Oct 2005 10:26:19 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|Manager|
VICIDIAL|GOOD|Fri, 07 Oct 2005 10:09:58 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|Manager|
VICIDIAL|GOOD|Fri, 07 Oct 2005 10:10:01 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|Manager|
VICIDIAL|GOOD|Fri, 07 Oct 2005 10:10:05 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|Manager|
VICIDIAL|GOOD|Fri, 07 Oct 2005 10:10:07 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|Manager|
VICIDIAL|GOOD|Fri, 07 Oct 2005 10:10:12 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|Manager|
VICIDIAL|GOOD|Fri, 07 Oct 2005 10:10:39 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|Manager|
VICIDIAL|GOOD|Fri, 07 Oct 2005 10:36:07 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|Manager|
VICIDIAL|GOOD|Thu, 10 Nov 2005 15:02:07 -0500|444|444|10.10.6.1|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|Manager|
VICIDIAL|GOOD|Thu, 10 Nov 2005 15:02:19 -0500|444|444|10.10.6.1|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|Manager|
VICIDIAL|GOOD|Thu, 10 Nov 2005 15:02:23 -0500|444|444|10.10.6.1|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|Manager|
VICIDIAL|GOOD|Thu, 10 Nov 2005 15:02:29 -0500|444|444|10.10.6.1|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|Manager|
VICIDIAL|GOOD|Thu, 10 Nov 2005 15:02:34 -0500|444|444|10.10.6.1|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|Manager|
